연번,종목,명칭,소재지,관리자,상세페이지링크
11,국보,경주 석굴암 석굴(慶州 石窟庵 石窟),경북 경주시,불국사,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=2&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=00240000&ccbaCtcd=37&ccbaCpno=1113700240000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
12,국보,경주 태종무열왕릉비(慶州 太宗武烈王陵碑),경북 경주시,경주시,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=2&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=00250000&ccbaCtcd=37&ccbaCpno=1113700250000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
13,국보,경주 불국사 금동비로자나불좌상(慶州 佛國寺 金銅毘盧遮那佛坐像),경북 경주시,불국사,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=2&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=00260000&ccbaCtcd=37&ccbaCpno=1113700260000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
14,국보,경주 불국사 금동아미타여래좌상(慶州 佛國寺 金銅阿彌陀如來坐像),경북 경주시,불국사,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=2&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=00270000&ccbaCtcd=37&ccbaCpno=1113700270000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
15,국보,경주 백률사 금동약사여래입상(慶州 栢栗寺 金銅藥師如來立像),경북 경주시,국립경주박물관,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=2&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=00280000&ccbaCtcd=37&ccbaCpno=1113700280000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
16,국보,성덕대왕신종(聖德大王神鍾),경북 경주시,국립경주박물관,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=2&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=00290000&ccbaCtcd=37&ccbaCpno=1113700290000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
17,국보,경주 분황사 모전석탑(慶州 芬皇寺 模塼石塔),경북 경주시,분황사,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=2&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=00300000&ccbaCtcd=37&ccbaCpno=1113700300000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
18,국보,경주 첨성대(慶州 瞻星臺),경북 경주시,경주시,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=2&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=00310000&ccbaCtcd=37&ccbaCpno=1113700310000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
19,국보,경주 황복사지 삼층석탑(慶州 皇福寺址 三層石塔),경북 경주시,경주시,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=2&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=00370000&ccbaCtcd=37&ccbaCpno=1113700370000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
20,국보,경주 고선사지 삼층석탑(慶州 高仙寺址 三層石塔),경북 경주시,경주시,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=2&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=00380000&ccbaCtcd=37&ccbaCpno=1113700380000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
21,국보,경주 나원리 오층석탑(慶州 羅原里 五層石塔),경북 경주시,경주시,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=3&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=00390000&ccbaCtcd=37&ccbaCpno=1113700390000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
22,국보,경주 정혜사지 십삼층석탑(慶州 淨惠寺址 十三層石塔),경북 경주시,경주시,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=3&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=00400000&ccbaCtcd=37&ccbaCpno=1113700400000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
23,국보,영주 부석사 소조여래좌상(榮州 浮石寺 塑造如來坐像),경북 영주시,부석사,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=3&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=00450000&ccbaCtcd=37&ccbaCpno=1113700450000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
24,국보,부석사 조사당 벽화(浮石寺 祖師堂 壁畵),경북 영주시,부석사,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=3&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=00460000&ccbaCtcd=37&ccbaCpno=1113700460000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
25,국보,의성 탑리리 오층석탑(義城 塔里里 五層石塔),경북 의성군,의성군,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=3&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=00770000&ccbaCtcd=37&ccbaCpno=1113700770000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
26,국보,금관총 금관 및 금제 관식(金冠塚 金冠 및 金製 冠飾),경북 경주시,국립경주박물관,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=3&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=00870000&ccbaCtcd=37&ccbaCpno=1113700870000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
27,국보,금관총 금제 허리띠(金冠塚 金製 銙帶),경북 경주시,국립경주박물관,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=3&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=00880000&ccbaCtcd=37&ccbaCpno=1113700880000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
28,국보,안향 초상(安珦 肖像),경북 영주시,소수서원,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=3&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=01110000&ccbaCtcd=37&ccbaCpno=1113701110000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
29,국보,경주 감은사지 동·서 삼층석탑(慶州 感恩寺址 東·西 三層石塔),경북 경주시,경주시,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=3&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=01120000&ccbaCtcd=37&ccbaCpno=1113701120000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
30,국보,안동 하회탈 및 병산탈(安東 河回탈 및 屛山탈),경북 안동시,안동시립민속박물관,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=3&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=01210000&ccbaCtcd=37&ccbaCpno=1113701210000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
31,국보,불국사 삼층석탑 사리장엄구(佛國寺 三層石塔 舍利莊嚴具),경북 경주시,불국사박물관,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=4&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=01260000&ccbaCtcd=37&ccbaCpno=1113701260000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
32,국보,구미 죽장리 오층석탑(龜尾 竹杖里 五層石塔),경북 구미시,구미시,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=4&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=01300000&ccbaCtcd=37&ccbaCpno=1113701300000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
33,국보,징비록(懲毖錄),경북 안동시,한국국학진흥원,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=4&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=01320000&ccbaCtcd=37&ccbaCpno=1113701320000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
34,국보,장양수 홍패(張良守 紅牌),경북 울진군,울＊＊＊,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=4&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=01810000&ccbaCtcd=37&ccbaCpno=1113701810000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
35,국보,영양 산해리 오층모전석탑(英陽 山海里 五層模塼石塔),경북 영양군,영양군,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=4&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=01870000&ccbaCtcd=37&ccbaCpno=1113701870000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
36,국보,천마총 금관(天馬塚 金冠),경북 경주시,국립경주박물관,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=4&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=01880000&ccbaCtcd=37&ccbaCpno=1113701880000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
37,국보,천마총 관모(天馬塚 冠帽),경북 경주시,국립경주박물관,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=4&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=01890000&ccbaCtcd=37&ccbaCpno=1113701890000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
38,국보,천마총 금제 허리띠(天馬塚 金製 銙帶),경북 경주시,국립경주박물관,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=4&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=01900000&ccbaCtcd=37&ccbaCpno=1113701900000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
39,국보,황남대총 남분 금목걸이(皇南大塚 南墳 金製頸飾),경북 경주시,국립경주박물관,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=4&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=01940000&ccbaCtcd=37&ccbaCpno=1113701940000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
40,국보,토우장식 장경호(土偶裝飾 長頸壺),경북 경주시,국립경주박물관,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=4&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=01950000&ccbaCtcd=37&ccbaCpno=1113701950000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
41,국보,경주 단석산 신선사 마애불상군(慶州 斷石山 神仙寺 磨崖佛像群),경북 경주시,경주시,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=5&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=01990000&ccbaCtcd=37&ccbaCpno=1113701990000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
42,국보,봉화 북지리 마애여래좌상(奉化 北枝里 磨崖如來坐像),경북 봉화군,봉화군,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=5&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=02010000&ccbaCtcd=37&ccbaCpno=1113702010000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
43,국보,경주 천마총 장니 천마도(慶州 天馬塚 障泥 天馬圖),경북 경주시,국립경주박물관,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=5&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=02070000&ccbaCtcd=37&ccbaCpno=1111102070000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
44,국보,도리사 세존사리탑 금동 사리기(桃李寺 世尊舍利塔 金銅舍利器),경북 김천시,직지사,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=5&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=02080000&ccbaCtcd=37&ccbaCpno=1113702080000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
45,국보,경주 장항리 서 오층석탑(慶州 獐項里 西 五層石塔),경북 경주시,경주시,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=5&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=02360000&ccbaCtcd=37&ccbaCpno=1113702360000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
46,국보,울진 봉평리 신라비(蔚珍 鳳坪里 新羅碑),경북 울진군,울진군,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?culPageNo=5&region=2&searchCondition=&searchCondition2=&s_kdcd=00&s_ctcd=37&ccbaKdcd=11&ccbaAsno=02420000&ccbaCtcd=37&ccbaCpno=1113702420000&ccbaCndt=&ccbaLcto=00&stCcbaAsno=&endCcbaAsno=&stCcbaAsdt=&endCcbaAsdt=&ccbaPcd1=&chGubun=&header=region&returnUrl=%2fheri%2fcul%2fculSelectRegionList.do&pageNo=1_1_3_1&sngl=Y
